இலக்கம்,பெயர்,அறிமுக வருடம்,அறிமுக படம்,பிறந்த திகதி,பிறந்த இடம்,அறிமுகம்,உள்ளடக்கம்
49,வித்யா பாலன்,,,1978-01-01,"பாலக்காடு, கேரளா, இந்தியா","வித்யா பாலன்  (பிறப்பு ஜனவரி 1, 1978) பாலிவுட் திரைப்படங்களில் மற்றும் விளம்பரப் படங்களில் தோன்றும் ஓர் இந்திய நடிகை ஆவார்.
சமூகவியல் பட்டப்படிப்பு முடித்தவுடன், வித்யா பாலன், தனது திரைத்துறை பயணத்தை பல இசைக் காணொளிகள், சவற்கார விளம்பரங்கள் மற்றும் பல வணிக ரீதியிலானவற்றில் தொடங்கி, பாலோ தேகோ (2003) என்னும் வங்காள திரைப்படத்தில் நடித்ததன் மூலம், திரைத்துறைக்குள் நுழைந்தார். பிறகு இவர் இந்தி திரைப்படமான பரிநீத்தா (2005) என்பதில் அறிமுகமாகி, பிலிம்பேரின் சிறந்த அறிமுக நடிகைக்கான விருதினைப் பெற்றார் மேலும் தனது முதல் வணிக வெற்றியை ராஜ்குமார் ஹிரானியின் லகே ரஹோ முன்னாபாய் (2006) படத்தின் மூலம் பெற்றார். அதைத் தொடர்ந்து ஹே பேபி (2008) மற்றும் பூல் பூலையா (2008) ஆகிய படங்களில் நடித்தார். அதில் பூல் பூலையாவில் தனது நடிப்பிற்காக சிறந்த நடிகைக்கான பிலிம்பேரின் விருதுக்கு பரிந்துரைக்கப்பட்டார். 2009 இல் ஆர். பால்கியின் திரைப்படமான பாவுக்கு, சிறந்த நடிகைக்கான பிலிம்பேர் விருதினைப் பெற்றார்.[1] 59வது தேசியத் திரைப்பட விருதுகளில் டர்ட்டி பிக்சர் என்ற இந்தித் திரைப்படத்திற்காக  சிறந்த நடிகை விருதைப் பெற்றார்.[2]","வித்யா பாலன் கேரளாவின்,[3] பாலக்காட்டில் உள்ள ஒரு தமிழ் பேசும் ஐயர் குடும்பத்தில், பி.ஆர். பாலன் (இ.டி.சி சேனலின் துணைத்தலைவர்) என்பவருக்கும் இல்லத்தரசியான சரசுவதி பாலனுக்கும் பிறந்தார். வித்யாவிற்குப்  பிரியா என்னும் மூத்த சகோதரி ஒருவரும் உள்ளார். ஒரு காணொளி நேர்காணலில், இவர்  தன்னை ”மிகுந்த கடவுள் நம்பிக்கையுடைவர்” என்றும், தான் ஒவ்வொரு வெள்ளிக்கிழமையும் கோவிலுக்குச்  செல்வதாகவும் குறிப்பிட்டுள்ளார்."
50,பானுப்பிரியா,,,1966-01-15,"ஆந்திரப் பிரதேசம், இந்தியா","பானுப்ரியா (தெலுங்கு: భానుప్రియ ) ஒரு இந்திய நடிகை. இவர் 1980 முதல் - 1993 வரை தமிழ், தெலுங்கு, கன்னடம், மலையாளம் உள்ளிட்ட மொழிகளில் முன்னணி நடிகையாகத் திகழ்ந்தார். இவர் 1990-களில் சில இந்தித் திரைப்படங்களிலும் நடித்துள்ளார்.","ஆந்திரப் பிரதேசத்தில் உள்ள ராஜமுந்திரியில் ஜனவரி 15, 1966 வருடம் பிறந்த இவர், இளமைக் காலம் முதல் சென்னையில் வசித்து வருகிறார்."
51,நந்திதா தாஸ்,,,1969-11-07,"புதுடில்லி, இந்தியா","நந்திதா தாஸ் (பிறப்பு 7 நவம்பர் 1969) ஒரு விருதுபெற்ற இந்திய திரைப்பட நடிகையும் சுதந்திரமான திரைப்பட உருவாக்குநரும் ஆவார். ஒரு நடிகையாக ஃபயர் (1996), எர்த் (1998), பவந்தர் (2000) மற்றும் ஆமார் புவன் (2002) ஆகிய படங்களில் நடித்ததற்காக விமர்சன ரீதியான பாராட்டுதல்களைப் பெற்று பிரபலமானவராக இருக்கிறார். ஒரு இயக்குநராக, அவர் தான் முதன்முதலாக இயக்கிய ஃபிராக் (2008) திரைப்படத்திற்காக பிரபலமடைந்தார். இது பிரான்ஸ் அரசாங்கத்தால் வழங்கப்படும் ஆர்டர் ஆஃப் ஆர்ட்ஸ் அண்ட் லெட்டர்ஸ் செவாலியர் விருது உட்பட பல தேசிய மற்றும் சர்வதேச விருதுகளையும் வென்றது.[1]","நந்திதா தாஸ், பிரபலமான இந்திய ஓவியரான மேற்கு வங்கத்திலிருந்து வந்தஜதின் தாஸ் என்பவருக்கும், குஜராத்தி இந்து-ஜெயின் மதத்தைச் சேர்ந்த எழுத்தாளரான வர்ஷாவுக்கும் புதுடெல்லியில் பிறந்தார்.[2]"
52,வசுந்தரா தாஸ்,1999,ஹேராம்,,"பெங்களூர், இந்தியா","வசுந்தரா தாஸ் (Vasundhara Das, பிறப்பு: 1977) இந்தியத் திரைப்பட நடிகையும் பாடகியும் ஆவர். இவர் கமல்ஹாசனின் ஹேராம் திரைப்படத்திலும்,அஜித்குமார் நடித்த சிட்டிசன் திரைப்படத்திலும் நடித்துள்ளார். தமிழ், தெலுங்கு, மலையாளம் உள்ளிட்ட இந்திய மொழித் திரைப்படங்களில் நடித்துள்ளார். முதல்வன் திரைப்படத்தின் ""சகலக்க பேபி"" உள்ளிட்ட பல பாடல்களை பாடியுள்ளார்.
வசுந்தராவின் படங்களில் ஹே ராம் (தமிழ் / இந்தி), மான்சூன் திருமண (ஆங்கிலம்), குடிமகன் (தமிழ்), இராவண பிரபு (மலையாளம்), லங்கேஷ் பேட்ரிக் (கன்னடம்) மற்றும் பலர் உள்ளனர். ஏ.ஆர்.ரஹ்மான் , விஜயா பாஸ்கர் , யுவன் சங்கர் ராஜா , ஜி.வி.பிரகாஷ்குமார் போன்ற இசையமைப்பாளர்களுடன் வசுந்தரா பணியாற்றியுள்ளார் .","வசுந்தராவின் தற்போதைய கவனம் பெங்களூரைச் சேர்ந்த தி ஆக்டிவ் என்ற ஸ்டுடியோவில் இசை அமைப்பில் உள்ளது . சேனல் வி ஜாம்மின், இந்தியாவுக்கான பிபிசியின் எச்.ஐ.வி விழிப்புணர்வு கீதம் 'ஹர் கதம்', மிஷன் உஸ்தாத், ஆர்யா, குளோபல் ரிதம்ஸ், நைலான் சவுண்ட்ஸ் மற்றும் மிக சமீபத்தில், தி ஷா உசேன் திட்டம், ஒரு கூட்டு திட்டங்களில் அவர் ஈடுபட்டுள்ளார். ஆல்பம் சூஃபி பாடகர் மிர் முக்தியார் அலி."
53,கனகா,,,1973-07-14,"சென்னை, தமிழ்நாடு, இந்தியா","கனகா (பிறப்பு: 14 சூலை 1973) தென்னிந்தியத் திரைப்பட நடிகை ஆவார். நடிகை தேவிகாவின் மகளான இவர் 1989-ஆம் ஆண்டில் கரகாட்டக்காரன் திரைப்படத்தின் மூலம் தமிழ்த் திரையுலகில் அறிமுகமானார். இவரது தந்தை தேவதாசு[1]. தமிழ், மலையாளம், கன்னடம், தெலுங்குத் திரைப்படங்களில் நடித்துள்ளார். ரஜினிகாந்த், பிரபு, கார்த்திக், மோகன்லால், மம்முட்டி, ஜெயராம் போன்ற பல முன்னணி நடிகர்களுடன் இவர் நடித்துள்ளார்.","2007 இல் கலிபோர்னியாவை சேர்ந்த பொறியாளர் முத்துக்குமார் என்பவரை யாருக்கும் தெரியாமல் திருமணம் செய்து கொண்டதாகவும், திருமணம் முடிந்து 15 நாள் கழித்து அவர் காணவில்லை என்றும், பிப்ரவரி 6, 2010 வரை அவரைப்பற்றி எந்தத்தகவலும் இல்லை என்றும் தெரிவித்தார்.[2]"
54,கனிகா,2002,ஸ்டார்,1982-07-03,"மதுரை, தமிழ் நாடு, இந்தியா","திவ்யா வெங்கடசுப்பிரமணியம் என்ற இயற்பெயரைக் கொண்ட கனிகா, ஓர் தமிழ்த் திரைப்பட நடிகையாவார். இவர் கன்னட, மலையாள, தெலுங்குத் திரைப்படங்களிலும் நடித்துள்ளார்.","திவ்யா, இந்தியாவின் தமிழ்நாடு மாநிலத்திலுள்ள மதுரையில் பிறந்தவர், இவரின் பெற்றோர் இருவரும் பொறியாளர்கள். 
மதுரையிலிருந்த பிரபலமான பள்ளியொன்றில் படித்த திவ்யா, மாநில அளவிலான கல்விக்கான விருதினைப் பெற்றுள்ளார்
[1] பின்னர் இராஜஸ்தானில் உள்ள பிர்லா அறிவியல் மற்றும் தொழில்னுட்ப நிறுவனத்தில் (பிட்ஸ்) இயந்திரவியல் பயின்றார். சிறு வயதிலிருந்தே தன் பாடும் திறனை மேம்படுத்திக் கொண்ட திவ்யா, பல இசைப் போட்டிகளில் கலந்து கொண்டுள்ளார். சென்னையில் நடைபெற்ற மிஸ் சென்னை என்ற போட்டியே இவர் திரைத்துறைக்கு வரக் காரணமாக இருந்தது."
55,சில்க் ஸ்மிதா,,,1960-12-02,"ஏலூரு, ஆந்திரப்பிரதேசம், இந்தியா","சில்க் ஸ்மிதா (தெலுங்கு: 'సిల్క్' స్మిత (2 திசம்பர் 1960 - 23 செப்டம்பர் 1996) என்பவர் ஒரு இந்திய திரைப்பட நடிகை ஆவார். 1970களில் ஒரு ஒப்பனைக் கலைஞராக இவர் திரைத்துறை வாழ்க்கையைத் தொடங்கினார். சில்க் ஸ்மிதா தமிழ் நடிகர்  வினுசக்கரவர்த்தியால் வண்டிச்சக்கரம் என்கிற திரைப்படத்தில் சிலுக்கு என்கிற சாராயம் விற்கும் பெண் கதாபாத்திரத்தில் முதன்முறையாக அறிமுகப்படுத்தினார். அந்தப் பெயரே இவருக்கு சினிமாவில் நிலைத்துவிட்டது. இவரது 17 வருட சினிமா வாழ்க்கையில் தமிழ், தெலுங்கு, கன்னடம், மலையாளம் மற்றும் இந்தி ஆகிய மொழிகளில் 450ற்கும் மேற்பட்ட திரைப்படங்களில் நடித்தார்.",இந்தியாவின் ஆந்திரமாநிலம் ஏலூரு என்ற இடத்தில் பிறந்தவர் விஜயலட்சுமி. பிறப்பால் ஆந்திரமாநிலத்தை சேர்ந்தவராயினும் இவரது பூர்வீகம் தமிழ் நாட்டின் கரூர் ஆகும். இவர் வறுமையின் காரணமாக பள்ளிப்படிப்பை நான்காம் வகுப்போடு நிறுத்திக்கொள்ள வேண்டியதாயிற்று. இவரது வசீகர தோற்றத்தின் காரணமாக பலரது தொல்லைகளுக்கு ஆளானார். இதனால் இவரது குடும்பத்தார் இவருக்கு சிறுவயதிலேயே திருமணம் முடித்துவைத்தனர். இவரது குடும்பவாழ்க்கையில் ஏற்பட்ட துன்பத்தின் காரணமாக இவர் சென்னைக்கு பிழைப்பு தேடியும் புது வாழ்க்கை தேடியும் ஓடிவந்து இவரது உறவினர் வீட்டில் தங்கினார்.
56,நமிதா,2004,எங்கள் அண்ணா,1981-05-10,,"நமிதா (ஆங்கில மொழி: Namitha, பிறப்பு:மே 10, 1981), தென்னிந்தியத் திரைப்பட நடிகை ஆவார். தமிழ் மொழியில் மட்டுமன்றி கன்னடா, தெலுங்கு, இந்தி, ஆங்கிலம் போன்ற மொழிகளிலும் இவர் நடித்திருக்கிறார். பெரிதும் கவர்ச்சியாக நடித்துப் புகழ்பெற்றுள்ளார் என்பதும் குறிப்பிடத்தக்கது. தமிழ் தொலைக்காட்சி நிகழ்நிலை நடனப்போட்டி மானாட மயிலாட நிகழ்ச்சியில் நடுவராகப் பங்குப் பெற்றுள்ளார். இவர் தென்னிந்திய திரையுலகில் முக்கியமாக செயல்பட்டு வரும் ஒரு இந்திய திரைப்பட நடிகை ஆவார். தெலுங்கு காதல் திரைப்படமான ""சொந்தம்"" (2002) மூலம் அறிமுகமானதற்கு முன்பு, மிஸ் இந்தியா 2001 போட்டியில் பங்கேற்றார்","நமிதா குஜராத் மாநிலம், சூரத்தில் பிறந்தார். அவரின் வீட்டில்  நமிதா கபூர் என்ற பெயரிலே அழைக்கப்படுகிறார். நமிதா 2001 ஆம் ஆண்டு மிஸ் இந்தியா போட்டியில் கலந்து கொண்டு இரண்டாம் இடம் பெற்றார். அந்த போட்டியில் முதல் இடம் பெற்றவர் செலினா ஜெயிட்லி , மூன்றாம் இடம் பெற்றவர் திரிஷா. 'சொந்தம்' என்ற தெலுங்கு படத்தில் அவர் முதன்முதலாக நடித்தார். தமிழில் முதல் படம் 'எங்கள் அண்ணா'. எரிக் மேனிங் இயக்கிய 'மாயா' என்ற ஆங்கிலப் படத்திலும் நமிதா நடித்துள்ளார்."
57,கௌசல்யா,,,,,"நமிதா (ஆங்கில மொழி: Namitha, பிறப்பு:மே 10, 1981), தென்னிந்தியத் திரைப்பட நடிகை ஆவார். தமிழ் மொழியில் மட்டுமன்றி கன்னடா, தெலுங்கு, இந்தி, ஆங்கிலம் போன்ற மொழிகளிலும் இவர் நடித்திருக்கிறார். பெரிதும் கவர்ச்சியாக நடித்துப் புகழ்பெற்றுள்ளார் என்பதும் குறிப்பிடத்தக்கது. தமிழ் தொலைக்காட்சி நிகழ்நிலை நடனப்போட்டி மானாட மயிலாட நிகழ்ச்சியில் நடுவராகப் பங்குப் பெற்றுள்ளார். இவர் தென்னிந்திய திரையுலகில் முக்கியமாக செயல்பட்டு வரும் ஒரு இந்திய திரைப்பட நடிகை ஆவார். தெலுங்கு காதல் திரைப்படமான ""சொந்தம்"" (2002) மூலம் அறிமுகமானதற்கு முன்பு, மிஸ் இந்தியா 2001 போட்டியில் பங்கேற்றார்","நமிதா குஜராத் மாநிலம், சூரத்தில் பிறந்தார். அவரின் வீட்டில்  நமிதா கபூர் என்ற பெயரிலே அழைக்கப்படுகிறார். நமிதா 2001 ஆம் ஆண்டு மிஸ் இந்தியா போட்டியில் கலந்து கொண்டு இரண்டாம் இடம் பெற்றார். அந்த போட்டியில் முதல் இடம் பெற்றவர் செலினா ஜெயிட்லி , மூன்றாம் இடம் பெற்றவர் திரிஷா. 'சொந்தம்' என்ற தெலுங்கு படத்தில் அவர் முதன்முதலாக நடித்தார். தமிழில் முதல் படம் 'எங்கள் அண்ணா'. எரிக் மேனிங் இயக்கிய 'மாயா' என்ற ஆங்கிலப் படத்திலும் நமிதா நடித்துள்ளார்."
58,சோனியா அகர்வால்,2003,காதல் கொண்டேன்,1982-03-28,பஞ்சாப் இந்தியா,"சோனியா அகர்வால் (பிறப்பு - மார்ச் 28, 1982, பஞ்சாப்), இந்தியத் திரைப்பட நடிகை ஆவார். இவர் பெரும்பான்மையாகத் தமிழ் மொழித் திரைப்படங்களிலேயே நடித்துள்ளார். தமிழ் திரையுலகத்திற்கு காதல் கொண்டேன் என்ற திரைப்படத்தில் கதாநாயகியாக அறிமுகப்படுத்திய இயக்குனர் செல்வராகவனை (நடிகர் தனுஷின் அண்ணன்)  விரும்பி டிசம்பர் 15, 2006 அன்று திருமணம் செய்து கொண்டார். பின்னர், இவர்களுக்குள் கருத்து வேறுபாடு ஏற்பட்டு விவாகரத்து செய்து கொண்டனர். இவர் நடித்த காதல் கொண்டேன், கோவில், மதுர, 7 ஜி ரெயின்போ காலணி, திருட்டுப்பயலே ஆகிய திரைப்படங்கள் பெரும் வெற்றியை தந்தன.",நடித்த சின்னத்திரை தொடர்கள்
59,மீனா,,,1976-09-16,"சென்னை, தமிழ்நாடு, இந்தியா","மீனா (Meena, பிறப்பு: 16 செப்டம்பர், 1976) தென்னிந்திய திரைப்பட நடிகை  ஆவார். குழந்தை நட்சத்திரமாக அறிமுகமாகி பின்னாளில் அறியப்பெற்ற நடிகை ஆனார். இவரது முதல் திரைப்படம் சிவாஜி கணேசனின் நெஞ்சங்கள் திரைப்படமாகும்.[2] 90களில் இருந்து 15 ஆண்டுகளுக்கு மேலாக தமிழ் மற்றும் தெலுங்குத் திரையுலகங்களில் முன்னணி நடிகையாக இடம்பெற்றுள்ளார். தமிழ், தெலுங்கு, கன்னடம், மலையாளம் என தென்னிந்திய மொழிகள் அனைத்திலும் நடித்துள்ளார். இவர் கதாநாயகியாக நடித்து வெளியான முத்து திரைப்படம், சப்பானில் வெற்றிகரமாக ஓடியதை அடுத்து சப்பான் நாட்டு ரசிகர்களையும் பெற்றுள்ளார். தொலைக்காட்சித் தொடர்களிலும் நடித்துள்ளார்.",
60,மீரா ஜாஸ்மின்,2002,ரன்,1982-02-15,"கோழிக்கோடு,கேரளா,  இந்தியா",மீரா ஜாஸ்மின் (மலையாளம்: മീര ജാസ്മി) என்றறியப்படும் ஜாஸ்மின் மேரி ஜோசப் கேரளாவில் பெப்ரவரி 15 1982 இல் பிறந்தார்.[1] மீரா ஜாஸ்மினுக்கு 2003 இல் வெளிவந்த மலையாளத் திரைப்படத்துக்காக சிறந்த நடிகைக்கான இந்தியத் தேசிய விருது வழங்கப்பட்டது. மீரா ஜாஸ்மின் மலையாள நடிகைகளில் அதிகபட்ச சம்பளம் வாங்கும் நடிகை ஆவார்.,இவருக்கும் துபாயில் பொறியாளராக வேலை செய்யும் அனில் ஜாண் டைடஸ் என்பவருக்கும் 12 பிப்ரவரி 2014 அன்று திருவனந்தபுரத்தில் உள்ள தேவாலயத்தில் திருமணம் நடந்தது.[2]
61,மனோரமா,,,1937-05-26,"மன்னார்குடி, தமிழ்நாடு[1]","மனோரமா (26 மே 1937 - 10 அக்டோபர் 2015) தென்னிந்தியத் திரைப்பட நடிகை ஆவார். நகைச்சுவைக் கதாபாத்திரங்களில் தனது திறனை வெளிப்படுத்திய இவர் 1500 திரைப்படங்களுக்கு மேல் நடித்தார்.[2] இவர் தமிழ்த் திரையுலகினராலும், தமிழ்த் திரைப்பட ரசிகர்களாலும் 'ஆச்சி' என அன்போடு அழைக்கப்பட்டார்.","இவர் தென்னிந்தியாவின் ஐந்து முதலமைச்சர்களுடன் நடித்த பெருமை கொண்டவர். கா. ந. அண்ணாதுரை, மு. கருணாநிதி ஆகிய இருவரும் நாடக மேடைகளில் மனோரமாவுடன் நடித்திருக்கிறார்கள். தவிர ஜெயலலிதா மற்றும் ம. கோ. இராமச்சந்திரன் இவருடன் தமிழ்த் திரைப்படங்களில் நடித்திருக்கிறார்கள். மேலும் என். டி. ராமராவ் தெலுங்கு படங்களில் இவருடன் நடித்திருக்கிறார்."
62,ராதா,,,,,"ராதை (தேவநாகரி: राधा, ராதா), ராதிகா, ராதாராணி மற்றும் ராதிகாராணி என்றும் அழைக்கப்பட்டவர், பகவத புராணத்திலும், இந்து மதத்தின் வைஷ்ணவ பரம்பரையின் கீத கோவிந்தத்திலும் கிருஷ்ணரின் முதன்மையான பக்தை ஆவார்.[1] ராதா எப்போதும் கிருஷ்ணரின் பக்கத்தில் இருப்பதாகச் சித்தரிக்கப்படுவதுடன், இன்றைய கௌடிய வைஷ்ணவ மத சாஸ்திரத்தில் முதன்மைபடுத்தி சிறப்பிக்கப்படும், புராதனமான பெண் தெய்வம் அல்லது சக்தியாகக் கருதப்படுகிறார். பிரம்ம வைவர்த புராணம், கார்கா சம்ஹித்தா மற்றும் பிரைஹாட் கௌதமிய தந்திரம் போன்ற நூல்களைப் போல, இந்த நூலிலும் கிருஷ்ணர் உடனான ராதாவின் உறவுமுறை பற்றி விரிவாகக் கொடுக்கப்பட்டுள்ளது. நிம்பர்க்கர் சம்பிரதாயத்தில் ராதா வணங்குவதற்கு உரிய முதன்மையான காட்சிப் பொருளாவார், நிம்பர்காவைப் போல, ராதா மற்றும் கிருஷ்ணர் இருவரும் ஒன்று சேர்ந்து இருந்தது முற்றிலும் உண்மையாகக் கருதப்படுவதாக, இந்தப் பரம்பரையை நிறுவியவர் அறிவித்தார்.[2]","பேச்சின் போது ராதாராணி அல்லது ராதிகா என்று ராதா அடிக்கடி அழைக்கப்படுவதுடன், அவர் பெயருக்கு முன்னால் மதிப்பளிக்கும் வார்த்தையான “ஸ்ரீமதி” என்று கடவுளைப் பின்பற்றுபவர்களால் குறிப்பிடப்படுகிறார். ராதா பெண் தெய்வம் லட்சுமியின் மிக முக்கிய அவதாரங்களில் ஒருவர் ஆவார்.[3][4][5]"
63,கோபிகா,2004,ஆட்டோகிராஃப்,1985-02-01,"ஒல்லூர், திருச்சூர், கேரளம்","கோபிகா (பிறப்பு: பிப்ரவரி 1, 1985) தமிழ், தெலுங்கு, கன்னடம் மற்றும் மலையாளத் திரைப்பட நடிகையாவார். இவர் இயற்பெயர் கேர்ளி அண்டோ ஆகும். இவர் கேரளாவில் பிறந்தார், இவரின் தந்தை ஹன்டோ பிரான்சிஸ் மற்றும் தாய் டெசி ஹன்டோவின் ஆகியோர்கள் ஆவார்.  
தனது பன்னிரெண்டாம் வகுப்பு பள்ளிப்படிப்பை கேரளா மாநிலம், திருச்சூரில் உள்ள செயிண்ட் ராப்பெல்ஸில் பெண்கள் மேல்நிலைப்பள்ளியில் படித்து முடித்தார். பின்னர் தன் மேற்படிப்பை கோழிக்கோடு பல்கலைக்கழகத்தில் சமூகத்துவியல் படிப்பை படித்து முடித்தார்.","அஜிலேஷ் சாக்கோ என்பவரை 2008 ஆம் ஆண்டு மணந்தார். இவர்களது திருமணம் சூலை 27, 2008 அன்று கேரளாவில் நடந்தது. இவர்களுக்கு எமி, எய்தீன் என இரண்டு பிள்ளைகள் உள்ளனர்.[3][4]"
64,அசின்,2004,எம். குமரன் சன் ஆஃவ் மஹாலஷ்மி,1985-10-26,"கொச்சி, கேரளம், இந்தியா","அசின் தொட்டும்கல்  (ஆங்கில மொழி: Asin, மலையாளம்: അസിന്‍ തോട്ടുങ്കല്‍), (பிறப்பு அக்டோபர் 26, 1985[1])பரவலாக அசின் என்ற பெயரால் அறியப்படும் கேரள மாநிலத்தைச் சேர்ந்த ஓர் இந்திய நடிகையும், பயிற்சி பெற்ற பரதநாட்டியக் கலைஞர் ஆவார்.",2001 ஆம் ஆண்டில் வெளியான சத்யன் அந்திக்காடின் நரேந்திரன் மகன் ஜெயகாந்தன் வகா என்ற  மலையாளத் திரைப்படத்தின் மூலம் திரையுலகில் அறிமுகமானார். அவரது முதல் வர்த்தகரீதியான வெற்றித் திரைப்படம் 2003 ஆம் ஆண்டில் வெளிவந்த தெலுங்குத் திரைப்படமான அம்மா நன்னா ஓ தமிழ் அம்மாயி ஆகும். அத்திரைப்படத்திற்காகச் சிறந்த தெலுங்கு நடிகைக்கான பிலிம்பேர் விருதினை வென்றார். அவரது முதல் தமிழ் திரைப்படமான எம். குமரன் சன் ஆஃப் மகாலஷ்மி வெற்றித் திரைப்படமாக அமைந்தது. கஜினி (2005) திரைப்படத்தில் அவரது பாராட்டத்தக்க நடிப்பிற்காக பிலிம்பேர் சிறந்த நடிகைக்கான விருதைப் பெற்றார்.
65,பத்மபிரியா,2005,தவமாய் தவமிருந்து,1980-02-28,"தில்லி, இந்தியா","பத்மபிரியா தென்னிந்தியத் திரைப்பட நடிகை ஆவார். இவர் தமிழ், மலையாளம், வங்காளம், தெலுங்கு போன்ற மொழிப்படங்களில் நடித்து வரும் இவர் பல மாநில, தேசிய விருதுகளை வென்றுள்ளார். சீனு வசந்தி இலட்சுமி என்னும் தெலுங்கு திரைப்படம் மூலம் திரை உலகிற்கு அறிமுகம் ஆனவர்.","பத்மபிரியா தில்லியில் வசித்த தமிழ் பெற்றோரின் மகள் ஆவார். இவரின் தந்தை ஜானகிராமன், இந்திய ராணுவத்தில் பணிபுரிந்தவர் மற்றும் தாய் விஜயா ஆவார். பத்மபிரியா தில்லியில் பிறந்து, பஞ்சாப்பில் வளர்ந்தார்."
66,ஷ்ரேயா ரெட்டி,2006,வெயில்,1983-04-03,"ஐதராபாத்து, ஆந்திரப் பிரதேசம், இந்தியா","சிரேயா ரெட்டி தொலைக்காட்சி நிகழ்ச்சி தொகுப்பாளினியும், திரைப்பட நடிகையும் ஆவார். இவர் மலையாளம்,தெலுங்கு, தமிழ்த் திரைப்படங்களில் நடித்துள்ளார். திரைப்பட நடிகையாவதற்கு முன்னர் சதன் மியுசிக் சுபைஸ் தொலைக்காட்சியில் நிகழ்ச்சிகளைத் தொகுத்து வழங்கி வந்தார். தமிழில் முதலாவதாக 2002 ஆம் ஆண்டு வெளியான சமுராய் திரைப்படத்தில் நடித்தார்.",
67,ஷ்ரேயா,2003,எனக்கு 20 உனக்கு 18,1982-09-11,"தேராதூன்,இந்தியா","சிரேயா சரன் (ஆங்கலம்: Shreya Saran) இந்திய திரைப்பட நடிகையாவார். இவர் தனது திரைப்பட வாழ்க்கையை 2001 ஆம் ஆண்டு இசுதாம் என்ற தெலுங்குத் திரைப்படத்தில் தொடங்கினார். 2002 ஆம் ஆண்டு சந்தோசம்  என்ற வெற்றி தெலுங்குத் திரைப்படத்தில் நடித்ததன் மூலம் தெலுங்கில் பிரபலமனார். இதன் பின்னர் தெலுங்குத் திரைப்படங்களில் முக்கியத் திரைப்பட நடிகர்களுடன் நடித்தார். பின்னர் பாலிவுட்டிலும், கோலிவுட்டிலும் நடிக்கும் வாய்ப்பை  பெற்றார். எனக்கு 20 உனக்கு 18  திரைப்படத்தின் மூலம் தமிழ்த் திரைப்படத்துறைக்கு அறிமுகமானார். 2007 ஆம் ஆண்டு வெளியான சிவாஜி திரைப்படத்தில் ரஜினிகாந்த்துடன் நடித்துள்ளார்.","மார்ச்சு 12, 2018 ஆம் ஆண்டு உருசியாவைச் சேர்ந்த தொழிலதிபரும், டென்னிசு வீரருமான ஆன்ட்ரி கொஸ்சீவை ரகசியத் திருமணம் செய்துக்கொண்டார்.[3] இவர்களுக்கு ராதா என்ற பெண் குழந்தை உள்ளது.[4]"
68,சதா,2003,ஜெயம்,1984-02-17,"இரத்தினகிரி, மகாராஷ்டிரம், இந்தியா","சதா (பிறப்பு - பெப்ரவரி 17, 1984; இயற்பெயர் - சதாஃவ் முகமது சையது)[1] தென்னிந்தியத் திரைப்பட நடிகை ஆவார். தாய்மொழி மராத்தி மொழியானாலும் தமிழ், தெலுங்கு, கன்னடம் ஆகிய மொழிப்படங்களிலும் நடித்துள்ளார். இவர் நடித்த அன்னியன் தமிழ்த் திரைப்படம் பொருளாதார ரீதியாக வெற்றிப்படமாகும்.[2]",
69,நவ்யா நாயர்,2004,அழகிய தீயே,1985-10-14,"கேரளா, இந்தியா","நவ்யா நாயர் (Navya Nair) என்ற தனது மேடைப் பெயரால் பரவலாக அறியப்படும் இவரின் இயற்பெயர் தன்யா வீணா என்பதாகும்.  மலையாள , தமிழ் மற்றும் கன்னடப் படங்களில் நடித்துள்ள ஒரு இந்தியத் திரைப்பட நடிகை ஆவார். சிறந்த நடிகைக்கான கேரளா மாநில திரைப்பட விருதை இரண்டு முறையும், கலைமாமணி விருதையும் வென்றவர்.","நவம்பர் 14, 1985 அன்று, ராஜு மற்றம் வீனா ராஜுவிற்கு, ஆலப்புழா மாவட்டத்தில் ஹரிப்பாடுவிற்கு அருகில் உள்ள ஒரு கிராமமான செப்பாடில் பிறந்தார்.  திரைப்பட இயக்குனர் கே.மது அவருக்கு மாமா உறவுமுறை ஆகும்."
70,விமலா ராமன்,2006,பொய்,1984-01-23,"சிட்னி, ஆஸ்திரேலியா","விமலா ராமன் தமிழ்த் திரைப்பட நடிகை ஆவார்.  கே. பாலச்சந்தர் இயக்கிய பொய் (2007) திரைப்படத்தில் கதாநாயகியாக அறிமுகமானார். இவர் அனைத்து தென்னிந்திய மொழித் திரைப்படங்களிலும், இந்தித் திரைப்படங்களிலும் நடித்து வருகிறார்.","ஆஸ்திரேலியாவின் சிட்னி நகரில் தமிழ்க் குடும்பத்தில் பிறந்து வளர்ந்த விமலா, ஜெயலட்சுமி கந்தையாவிடம் முறைப்படி பரத நாட்டியம் பயின்று 2000வது ஆண்டில் அரங்கேறினார். கணினித்துறையில் பல்கலைக்கழகப் பட்டம் பெற்ற விமலா தரவுத்தள ஆய்வாளராகத் தொழிலாற்றுகிறார். 2006 ஆண்டில் இவர் ஆஸ்திரேலிய இந்திய அழகியாகத் தேர்ந்தெடுக்கப்பட்டார்[1]"
